timestamp,aqi_value,category,parameter,reporting_area,state_code,latitude,longitude
2026-04-29,35,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-29,42,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-30,31,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-30,37,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-01,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-01,26,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-02,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-02,26,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-03,43,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-03,23,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-04,64,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-04,43,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-05,65,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-05,90,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-06,43,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-06,58,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-07,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-07,26,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-08,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-08,37,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-09,39,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-09,59,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-10,71,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-10,46,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-11,16,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-11,37,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-12,39,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-12,18,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-13,58,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-13,39,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-14,39,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-14,33,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-15,29,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-15,19,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-16,84,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-16,44,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-05-17,100,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-05-17,56,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
