timestamp,complaint_count,complaint_ids
2026-02-22 22:00:00,5,"68076507,68077672,68074415,68077632,68075329"
2026-02-22 23:00:00,1,68077517
2026-02-23 00:00:00,2,"68078759,68077631"
2026-02-23 03:00:00,1,68095003
2026-02-23 08:00:00,3,"68088884,68092972,68084935"
2026-02-23 09:00:00,1,68081028
2026-02-23 10:00:00,2,"68092578,68084934"
2026-02-23 11:00:00,2,"68090933,68092981"
2026-02-23 12:00:00,5,"68081014,68086901,68090934,68092576,68088874"
2026-02-23 13:00:00,7,"68095019,68082978,68086888,68095020,68082966"
2026-02-23 14:00:00,1,68092968
2026-02-23 15:00:00,5,"68082587,68082968,68090944,68080684,68086542"
2026-02-23 16:00:00,2,"68086543,68092577"
2026-02-23 17:00:00,5,"68081013,68084558,68086902,68088872,68092970"
2026-02-23 18:00:00,6,"68092967,68084556,68084947,68086887,68092579"
2026-02-23 19:00:00,5,"68084933,68094997,68088873,68092575,68090951"
2026-02-23 20:00:00,9,"68084932,68088882,68094996,68081029,68086885"
2026-02-23 21:00:00,3,"68081027,68090950,68092969"
2026-02-23 22:00:00,4,"68082965,68084557,68090952,68082589"
2026-02-23 23:00:00,3,"68086884,68086898,68092971"
2026-02-24 02:00:00,2,"68106734,68106685"
2026-02-24 03:00:00,1,68109509
2026-02-24 04:00:00,1,68109567
2026-02-24 06:00:00,4,"68118179,68112398,68106684,68112393"
2026-02-24 07:00:00,15,"68097899,68106680,68106683,68118178,68118240"
2026-02-24 08:00:00,15,"68100824,68103786,68106678,68100826,68111476"
2026-02-24 09:00:00,14,"68103729,68118174,68112457,68112399,68097910"
2026-02-24 10:00:00,7,"68115238,68112400,68112390,68112458,68100819"
2026-02-24 11:00:00,6,"68106679,68112456,68097907,68106689,68109570"
2026-02-24 12:00:00,17,"68097900,68103735,68106735,68115237,68115241"
2026-02-24 13:00:00,9,"68100823,68112408,68097905,68115269,68117216"
2026-02-24 14:00:00,8,"68103727,68112455,68103742,68097959,68112396"
2026-02-24 15:00:00,7,"68112388,68103736,68118181,68103726,68109517"
2026-02-24 16:00:00,9,"68100817,68097904,68115264,68117215,68103732"
2026-02-24 17:00:00,7,"68100825,68115240,68106690,68115242,68109510"
2026-02-24 18:00:00,3,"68106738,68105778,68112397"
2026-02-24 19:00:00,2,"68103728,68109514"
2026-02-24 20:00:00,4,"68112461,68103787,68100818,68097960"
2026-02-24 21:00:00,1,68115239
2026-02-24 22:00:00,7,"68108592,68115236,68106681,68106682,68112389"
2026-02-24 23:00:00,1,68100820
2026-02-25 01:00:00,4,"68109568,68111474,68106737,68100828"
2026-02-25 02:00:00,1,68122295
2026-02-25 03:00:00,1,68127376
2026-02-25 04:00:00,4,"68127374,68129054,68120527,68127348"
2026-02-25 07:00:00,4,"68125591,68125592,68128999,68127326"
2026-02-25 08:00:00,5,"68120504,68122263,68127317,68129001,68130732"
2026-02-25 09:00:00,2,"68120506,68132427"
2026-02-25 10:00:00,12,"68120502,68125594,68127372,68130735,68122315"
2026-02-25 11:00:00,5,"68122265,68120531,68127316,68130744,68132430"
2026-02-25 12:00:00,10,"68130787,68123896,68123897,68123956,68127378"
2026-02-25 13:00:00,5,"68130736,68132422,68122264,68127371,68129000"
2026-02-25 14:00:00,5,"68125596,68125132,68122268,68125588,68129052"
2026-02-25 15:00:00,6,"68123901,68129004,68120500,68125597,68122327"
2026-02-25 16:00:00,7,"68122269,68132425,68129051,68125130,68125590"
2026-02-25 17:00:00,13,"68123900,68125593,68122273,68132475,68120555"
2026-02-25 18:00:00,6,"68120503,68132426,68132476,68120557,68127370"
2026-02-25 19:00:00,5,"68125654,68120501,68120507,68125131,68123452"
2026-02-25 20:00:00,6,"68123952,68120562,68132429,68125589,68125644"
2026-02-25 21:00:00,2,"68132428,68130786"
2026-02-25 22:00:00,1,68123898
2026-02-25 23:00:00,2,"68125655,68123911"
2026-02-26 00:00:00,5,"68120526,68130734,68123955,68129003,68125595"
2026-02-26 01:00:00,1,68127373
2026-02-26 04:00:00,2,"68137353,68142206"
2026-02-26 06:00:00,2,"68140561,68135864"
2026-02-26 07:00:00,6,"68135781,68140568,68142209,68134177,68134176"
2026-02-26 08:00:00,20,"68143970,68137357,68137359,68137363,68140560"
2026-02-26 09:00:00,10,"68135784,68138957,68137358,68140564,68143895"
2026-02-26 10:00:00,12,"68135872,68135873,68142216,68137361,68137442"
2026-02-26 11:00:00,11,"68142211,68138954,68145176,68140655,68143927"
2026-02-26 12:00:00,9,"68137017,68137362,68138958,68143840,68145639"
2026-02-26 13:00:00,5,"68137438,68140559,68137440,68142294,68134145"
2026-02-26 14:00:00,5,"68140618,68145643,68135865,68135783,68143838"
2026-02-26 15:00:00,4,"68135776,68138972,68140565,68142210"
2026-02-26 16:00:00,7,"68137364,68135780,68135863,68140582,68135794"
2026-02-26 17:00:00,14,"68138955,68137437,68140570,68140656,68137356"
2026-02-26 18:00:00,7,"68138953,68135777,68139005,68140571,68145568"
2026-02-26 19:00:00,4,"68143896,68135782,68140567,68134100"
2026-02-26 20:00:00,3,"68142215,68145562,68145565"
2026-02-26 21:00:00,6,"68135862,68140657,68140562,68139045,68143839"
2026-02-26 22:00:00,4,"68138956,68135779,68143834,68134103"
2026-02-26 23:00:00,1,68145600
2026-02-27 00:00:00,2,"68135778,68135828"
2026-02-27 01:00:00,2,"68137016,68145567"
2026-02-27 03:00:00,3,"68151368,68154010,68147057"
2026-02-27 04:00:00,1,68149896
2026-02-27 05:00:00,2,"68146702,68157207"
2026-02-27 06:00:00,1,68157123
2026-02-27 07:00:00,5,"68155758,68149890,68149889,68149888,68149964"
2026-02-27 08:00:00,13,"68152766,68152765,68155834,68154283,68148487"
2026-02-27 09:00:00,20,"68154349,68146975,68151340,68157127,68148448"
2026-02-27 10:00:00,15,"68147053,68151347,68151348,68154380,68149885"
2026-02-27 11:00:00,12,"68149931,68151346,68155757,68151442,68154289"
2026-02-27 12:00:00,14,"68149932,68149933,68151352,68157122,68152768"
2026-02-27 13:00:00,10,"68149891,68157126,68152771,68146979,68148530"
2026-02-27 14:00:00,8,"68157124,68154292,68149886,68149936,68151450"
2026-02-27 15:00:00,17,"68147054,68146973,68151400,68154333,68157179"
2026-02-27 16:00:00,10,"68151429,68149963,68152773,68154294,68155828"
2026-02-27 17:00:00,12,"68155759,68146976,68148520,68156827,68148524"
2026-02-27 18:00:00,1,68151350
2026-02-27 19:00:00,2,"68149894,68155762"
2026-02-27 20:00:00,2,"68157220,68148450"
2026-02-27 21:00:00,8,"68151431,68148451,68149965,68148522,68148523"
2026-02-27 22:00:00,3,"68152770,68149884,68155761"
2026-02-27 23:00:00,2,"68148525,68147063"
2026-02-28 00:00:00,2,"68146971,68154296"
2026-02-28 01:00:00,1,68152767
2026-02-28 02:00:00,2,"68163933,68162719"
2026-02-28 03:00:00,4,"68158367,68161779,68164167,68164214"
2026-02-28 05:00:00,3,"68165334,68166548,68158128"
2026-02-28 06:00:00,2,"68160603,68158296"
2026-02-28 07:00:00,4,"68159504,68165385,68163008,68159450"
2026-02-28 08:00:00,10,"68158308,68163015,68158366,68160598,68165310"
2026-02-28 09:00:00,18,"68160606,68161770,68159490,68158368,68162939"
2026-02-28 10:00:00,12,"68164207,68159512,68159444,68158298,68164158"
2026-02-28 11:00:00,5,"68161825,68162941,68165377,68161773,68159447"
2026-02-28 12:00:00,6,"68162943,68159452,68161769,68159442,68164154"
2026-02-28 13:00:00,15,"68160601,68164208,68165355,68166489,68158322"
2026-02-28 14:00:00,15,"68158304,68159489,68158306,68158309,68164159"
2026-02-28 15:00:00,9,"68158363,68158295,68165311,68159453,68160656"
2026-02-28 16:00:00,9,"68158302,68158307,68159511,68158303,68162905"
2026-02-28 17:00:00,14,"68158313,68166297,68160654,68166490,68158300"
2026-02-28 18:00:00,1,68162940
2026-02-28 19:00:00,6,"68161771,68158305,68159509,68165379,68166550"
2026-02-28 20:00:00,7,"68162942,68165315,68158372,68159510,68166495"
2026-02-28 21:00:00,7,"68161798,68163009,68166549,68163010,68165314"
2026-02-28 22:00:00,6,"68166493,68164160,68166492,68163014,68158344"
2026-02-28 23:00:00,3,"68160602,68158365,68165317"
2026-03-01 00:00:00,4,"68159445,68160409,68160604,68161817"
2026-03-01 01:00:00,2,"68165316,68163013"
2026-03-01 02:00:00,8,"68162959,68166497,68174514,68173408,68174353"
2026-03-01 04:00:00,3,"68172276,68173407,68172335"
2026-03-01 05:00:00,1,68173380
2026-03-01 06:00:00,2,"68171131,68168906"
2026-03-01 07:00:00,4,"68174526,68170103,68172332,68172315"
2026-03-01 08:00:00,9,"68170036,68174525,68174534,68174533,68173375"
2026-03-01 09:00:00,14,"68175722,68170072,68171213,68173368,68170027"
2026-03-01 10:00:00,11,"68175699,68170051,68173381,68168865,68167720"
2026-03-01 11:00:00,20,"68170038,68167780,68173406,68174524,68175706"
2026-03-01 12:00:00,16,"68171143,68172316,68172280,68168883,68174539"
2026-03-01 13:00:00,13,"68175701,68173428,68173429,68167715,68167724"
2026-03-01 14:00:00,8,"68173431,68175700,68173379,68171138,68167534"
2026-03-01 15:00:00,10,"68171136,68174532,68171126,68171133,68172274"
2026-03-01 16:00:00,8,"68174537,68171129,68170031,68167722,68171199"
2026-03-01 17:00:00,15,"68171134,68172284,68174531,68174536,68172285"
2026-03-01 18:00:00,11,"68174543,68175693,68173377,68171198,68170097"
2026-03-01 19:00:00,5,"68175703,68168871,68173438,68175765,68167788"
2026-03-01 20:00:00,10,"68171203,68172283,68174530,68175702,68167721"
